站號,站名,站種,海拔高度(m),經度,緯度,城市,地址,資料起始日期,撤站日期,備註,原站號,新站號
C0C620,蘆竹,署屬自動站,19,121.265767,25.084275,桃園市,蘆竹區坑口里14鄰旁,2011-12-01,,原(C1C620)站因擴充為氣象站，於2011/12/1升級為(C0C620)站。,C1C620,
C0C630,大溪,署屬自動站,209,121.265547,24.882853,桃園市,大溪區員林路2段450號(員樹林國小校園內),2007-12-01,,,,
C0C650,平鎮,署屬自動站,208,121.214636,24.897503,桃園市,平鎮區中豐路山頂段375巷45號(山豐國民小學校園內),2007-12-01,,,,
C0C660,楊梅,署屬自動站,176,121.143047,24.912375,桃園市,楊梅區金華街100號(楊心國小),2013-08-01,,,,
C0C670,龍潭,署屬自動站,250,121.221389,24.870056,桃園市,龍潭區中興路726號（龍潭消防分隊）,2014-04-01,,,,
C0C680,龜山,署屬自動站,228,121.38656,25.02846,桃園市,龜山區文化一路250號(國立體育大學田徑場),2017-04-12,,,,
C0C700,中壢,署屬自動站,151,121.256375,24.977661,桃園市,中壢區成章四街120號(內壢高中樓頂),2017-12-27,,,,
C0C710,大溪永福,署屬自動站,143,121.324975,24.892936,桃園市,大溪區信義路1165號（永福國小）,2018-12-26,,,,
C0C720,竹圍,署屬自動站,21,121.239824,25.112692,桃園市,大園區沙崙段沙崙小號00719-000建號(竹圍第一機動巡邏隊樓頂),2022-03-09,,,,
C0C730,中大臨海站,署屬自動站,5,121.008581,24.966126,桃園市,新屋區蚵殼港段深圳小段52-41號土地(中央大學臨海工作站),2022-03-09,,,,
C0C740,觀音工業區,署屬自動站,5.3,121.114856,25.064764,桃園市,觀音區經建七路5號(觀音工業區汙水處理廠迴流汙泥站機房樓頂),2022-03-09,,,,
C0C750,新興坑尾,署屬自動站,72,121.0971,25.0061,桃園市,觀音區文化路石橋段453號,2022-12-26,,,,
C0C790,東眼山,署屬自動站,858,121.40888,24.8284,桃園市,復興區東眼山段93地號,2025-04-25,,,,
C0C800,四稜,署屬自動站,1167,121.4293,24.64733,桃園市,復興區四稜段6地號,2025-04-25,,,,
C0D360,梅花,署屬自動站,523,121.208558,24.678347,新竹縣,尖石鄉梅花村1鄰11號(梅花國小校園內),1987-06-01,,,,
C0D430,峨眉,署屬自動站,87,121.017189,24.6905,新竹縣,峨眉鄉31541峨眉村峨眉街54號(峨眉國中校園內),2011-12-01,,原(C1D430)站因擴充為氣象站，於2011/12/1升級為(C0D430)站。,C1D430,
C0D480,打鐵坑,署屬自動站,223,121.150789,24.849664,新竹縣,新埔鎮新北里8鄰大北坑28號旁,2008-01-01,,原(C1D480)站因擴充為氣象站，於2008/1/1升級為(C0D480)站。,C1D480,
C0D540,橫山,署屬自動站,227,121.11693,24.71116,新竹縣,橫山鄉橫山村橫山段426-6地號上,2007-10-01,,,,
C0D550,雪霸,署屬自動站,1956,121.11605,24.526972,新竹縣,五峰鄉桃山村民石380號(雪霸農場內),2007-10-01,,,,
C0D560,竹東,署屬自動站,147,121.057881,24.767147,新竹縣,竹東鎮二重國民小學校園內,2008-01-01,,原(C1D560)站因擴充為氣象站，於2008/1/1升級為(C0D560)站。,C1D560,
C0D580,寶山,署屬自動站,120,121.025192,24.735006,新竹縣,寶山鄉新湖路280號旁,2007-12-01,,,,
C0D590,新豐,署屬自動站,143,120.97721,24.87068,新竹縣,新豐鄉松柏村康和路199號(小叮噹科學主題樂園),2007-10-01,,原(C0C580)站因縣市代碼不符，於2008/2/25重新編碼為(C0D590)站。,C0C580,
C0D650,湖口,署屬自動站,97,121.043628,24.904794,新竹縣,湖口鄉信勢村三鄰成功路109號(湖口消防分隊),2013-10-01,,,,
C0D660,新竹市東區,署屬自動站,65,120.986942,24.798681,新竹市,東區光復路二段321號（工研院光復院區6館）,2014-11-01,,,,
C0D670,海天一線,署屬自動站,23,120.914438,24.831986,新竹市,北區(海天一線看海公園),2022-03-09,,,,
C0D680,香山濕地,署屬自動站,24,120.914988,24.783581,新竹市,香山區西濱路三段500巷17號,2022-03-09,,,,
C0D690,外湖,署屬自動站,20,120.968711,24.917735,新竹縣,新豐鄉新豐段00369-000建號(外湖守望哨樓頂),2022-03-09,,,,
C0D700,關西,署屬自動站,155,121.1732,24.7977,新竹縣,關西鎮北斗里北門口41號(關西國中校園內),2023-02-19,,原(C0D390)站因移位，於2023/02/19變更為(C0D700)站。,C0D390,
C0D750,樂山林道6k,署屬自動站,2292,121.08773,24.49999,新竹縣,五峰鄉檜山段33地號,2025-04-25,,,,
C0D760,大坪苗圃,署屬自動站,1371,121.1108,24.5362,新竹縣,五峰鄉腦寮段3地號,2025-04-25,,,,
C0E420,竹南,署屬自動站,19,120.888897,24.708978,苗栗縣,竹南鎮大埔里仁愛路1092號(竹南鎮大埔國民小學內),1987-06-01,,,,
C0E430,南庄,署屬自動站,258,121.000214,24.601775,苗栗縣,南庄鄉東村文化路3號(南庄國小校園內),1987-06-01,,,,
C0E550,明德,署屬自動站,84,120.885411,24.583486,苗栗縣,頭屋鄉明德水庫水利工作站屋頂上,2011-11-01,,原(C1E550)站因擴充為氣象站，於2011/11/1升級為(C0E550)站。,C1E550,
C0E570,白沙屯,署屬自動站,31,120.696803,24.549447,苗栗縣,通霄鎮新埔里19鄰新埔151-2號,2025-02-05,,,,
C0E590,通霄,署屬自動站,40,120.704622,24.471892,苗栗縣,通霄鎮城北里1鄰13號(通霄鎮城中國民小學內),2011-11-01,,原(C1E590)站因擴充為氣象站，於2011/11/1升級為(C0E590)站，原為土城雨量站。於2024/01/08完成儀器汰換,C1E590,
C0E610,馬都安,署屬自動站,850,120.930192,24.451272,苗栗縣,泰安鄉錦水村(由泰安開車約2小時瞭望台旁),1990-07-21,,,,
